"title","description","quantity_available"
"The Great Gatsby","A mysterious millionaire throws lavish parties in pursuit of a lost love.","5"
"To Kill a Mockingbird","A young girl grows up in the racially charged South during the 1930s.","7"
"Nineteen Eighty-Four","A dystopian society is ruled by surveillance and oppressive government.","6"
"The Catcher in the Rye","A disenchanted teenager wanders New York City in search of meaning.","8"
"The Hobbit","A hobbit is swept into a quest to reclaim a dwarven treasure hoard.","4"
"Harry Potter and the Sorcerer's Stone","A young boy discovers he's a wizard and begins his magical education.","9"
"The Da Vinci Code","A symbologist uncovers secrets hidden in art and history after a murder.","10"
"The Alchemist","A shepherd boy dreams of finding treasure and embarks on a spiritual quest.","3"
"Pride and Prejudice","A romantic clash of manners and class in 19th-century England.","2"
"A Game of Thrones","Noble families vie for control of the Iron Throne in a brutal fantasy realm.","5"
"The Name of the Wind","A gifted young man grows into a powerful wizard in a world of magic.","7"
"Gone Girl","A woman's disappearance turns into a media frenzy with dark secrets.","4"
"The Haunting of Hill House","A group of people investigate a mansion with a sinister reputation.","5"
"Outlander","A WWII nurse is swept back in time to 18th-century Scotland and finds love.","9"
"Milk and Honey","A collection of poetry on love, loss, trauma, and healing.","6"
"Foundation","A mathematician predicts the fall of a galactic empire and works to save knowledge.","3"
"Educated","A woman born to survivalists seeks education and escapes her isolated life.","8"
"Oxford English Dictionary","The definitive guide to the meaning and history of English words.","2"
"Fluent in 3 Months","A practical guide to rapid language acquisition and real-world fluency.","4"
"The Book Thief","A girl steals books and shares stories in Nazi Germany.","7"
"The Shawshank Redemption","A man imprisoned for murder forms a deep bond with another inmate.","9"
"The Godfather","A powerful crime family struggles with power, loyalty, and betrayal.","8"
"The Dark Knight","Batman faces his greatest challenge yet from the anarchic Joker.","6"
"Pulp Fiction","Intertwined stories of crime, drugs, and redemption in Los Angeles.","7"
"The Lion King","A lion cub prince flees his kingdom before returning to reclaim it.","9"
"Titanic","A love story unfolds aboard the ill-fated RMS Titanic.","5"
"Jurassic Park","A theme park with cloned dinosaurs goes horribly wrong.","5"
"Toy Story","A cowboy doll feels threatened when a new toy arrives.","9"
"Get Out","A Black man uncovers dark secrets during a visit to his white girlfriend’s family.","6"
"The Notebook","A young couple falls in love during the early 1940s.","8"
"Spider-Man: No Way Home","Spider-Man teams up with alternate versions of himself to save the world.","6"
"The Exorcist","A young girl is possessed by a demonic entity.","5"
"La La Land","A musician and actress fall in love while pursuing their dreams.","8"
"WALL-E","A waste-collecting robot discovers the fate of humanity.","7"
"Black Panther","A king returns to his African nation and becomes the superhero Black Panther.","3"
"Her","A man falls in love with an intelligent operating system.","6"
"Coco","A boy journeys to the Land of the Dead to discover his family's past.","7"
"The Silence of the Lambs","An FBI trainee seeks help from a brilliant but psychotic killer.","3"
"Schindler’s List","A businessman saves hundreds of Jews during the Holocaust.","4"
"The Matrix","A hacker discovers reality is a simulation and joins a rebellion.","8"
"Abbey Road","The Beatles' iconic final studio album featuring “Come Together.”","7"
"Thriller","Michael Jackson’s groundbreaking pop masterpiece.","8"
"To Pimp a Butterfly","Kendrick Lamar’s poetic and powerful hip-hop concept album.","6"
"21","Adele’s soulful breakout album with heartfelt ballads.","3"
"Kind of Blue","Miles Davis’ legendary and influential jazz record.","5"
"The Four Seasons","Vivaldi’s famous violin concertos representing each season.","3"
"Golden Hour","Kacey Musgraves’ dreamy, genre-blending country-pop album.","7"
"The Greatest Showman Soundtrack","A theatrical and uplifting original motion picture soundtrack.","9"
"Love Yourself: Tear","BTS album with themes of heartbreak and self-discovery.","6"
"Colores","J Balvin’s vibrant and color-themed reggaeton album.","5"
"Back in Black","AC/DC’s hard-hitting rock classic dedicated to their late singer.","6"
"Future Nostalgia","Dua Lipa’s retro-inspired pop sensation with dance floor bangers.","8"
"good kid, m.A.A.d city","Kendrick Lamar’s storytelling hip-hop masterpiece.","7"
"Songs in A Minor","Alicia Keys’ blend of classical and R&B influences in her debut.","5"
"Blue Train","John Coltrane’s bold and bluesy jazz classic.","4"
"Beethoven: Symphony No. 9","A powerful and inspiring classical masterpiece featuring “Ode to Joy.”","6"
"Fearless","Taylor Swift’s early country-pop album filled with youthful emotion.","9"
"Hamilton (Original Broadway Cast)","The genre-bending, culturally impactful Broadway soundtrack.","5"
"Map of the Soul: 7","BTS album exploring identity and personal reflection.","8"
"El Mal Querer","Rosalía’s flamenco-pop fusion album with bold visuals and sound.","6"
"Vogue","September 2021 issue featuring Billie Eilish and fashion’s future.","7"
"Time","Person of the Year 2022: Volodymyr Zelensky and the spirit of Ukraine.","6"
"Men’s Health","Summer 2020 issue focusing on strength training and recovery.","5"
"Real Simple","April 2019 issue: Spring cleaning made simple.","4"
"Forbes","Billionaires 2023: The world’s richest people and their stories.","9"
"WIRED","The future of AI: Inside ChatGPT and beyond (March 2023 issue).","6"
"People","Jennifer Aniston: Her truth, her comeback (October 2021 issue).","7"
"Sports Illustrated","Super Bowl LVIII: Chiefs vs. 49ers recap and analysis.","8"
"National Geographic","July 2022: Inside the Amazon rainforest’s biodiversity crisis.","6"
"Better Homes & Gardens","Holiday decorating special (December 2020 issue).","5"
"Elle","Summer fashion preview 2023 with Zendaya on the cover.","4"
"The Atlantic","Democracy under pressure (January 2021 issue).","6"
"Women’s Health","Body positivity & mental wellness: Spring 2018 issue.","5"
"Martha Stewart Living","Backyard entertaining ideas (June 2017 issue).","3"
"Bloomberg Businessweek","Tech’s trillion-dollar companies (October 2019 issue).","7"
"Popular Science","10 Innovations That Could Change the World (May 2022).","6"
"Entertainment Weekly","Fall TV Preview: What to watch in 2021.","8"
"ESPN Magazine","The Body Issue 2018: Celebrating athletic form and strength.","7"
"Condé Nast Traveler","Europe travel guide special (August 2016).","5"
"HGTV Magazine","DIY Fall Décor and Budget Remodels (October 2022 issue).","6"
"The Javelin Program (Time to Orbit: Unknown)","Aspen Greaves wakes up from a cryo-sleep on a space colony ship earlier than expected and all alone.","3"
"Speak Now","Speak Now is a loose concept album about the unsaid things she wanted to deliver to the subjects of her songs.","3"
"Red","Red is Taylor Swift's final album marketed as Country, with a focus on breakup songs.","4"
"1989","Titled after Swift's birth year as a symbolic rebirth, the album recalibrated her artistic identity from country music to pop.","1"
"Sinners","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","1"
"Honest Redneck","The most honest redneck and his adventures with his dog, Callie.","1"
"The Antarctica Conspiracy (Time to Orbit: Unknown)","The crew of the Courageous draw closer to their destination, but realize that everything is much more complicated than they once thought.","3"
"His Majesty's Dragon (Temeraire)","The English Navy seize a French warship and discover that it's harboring a stolen dragon egg. Captain William Laurence bonds with the dragon, becoming apart of Britain's Aerial Corps.","1"
"Throne of Jade (Temeraire)","The Chinese get into contact with Captain Laurence, intent on retrieving Temeraire, and they go to China on a diplomatic mission.","1"
"A Deadly Education (Scholomance)","Galadriel ""El"" Higgins must survive to graduation in the deadliest magic school.","1"
